id,email,created_at,updated_at,username,phone_number,major,student_id,sex,home_phone_number,emergency_phone_number,habitat_id,member_type,generation_id,birth,activated,provider,uid,extra_info,club_id
1939,donut0@donutworks.com,2014-11-15 17:05:30 +0900,2014-11-15 17:15:59 +0900,홍주주,01000000000,"",2014-00000,"",0200000000,01010000000,donut0,"",,900101,true,kakao,0,,1
1938,donut1@donutworks.com,2014-10-30 16:02:49 +0900,2014-11-15 16:52:40 +0900,허은진,01000000001,"",2014-00001,남,0200000001,01010000001,donut1,"",,900102,false,,1,,1
1737,donut2@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,안훈라,01000000002,간호대학 간호학과,2014-00002,여,0200000002,01010000002,donut2,정단원,8.0,900103,false,,2,,1
1731,donut3@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,추진혁,01000000003,사범대학 영어교육과,2014-00003,여,0200000003,01010000003,donut3,예비단원,8.0,900104,false,,3,,1
1732,donut4@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,이주수,01000000004,공과대학 건축학과,2014-00004,남,0200000004,01010000004,donut4,예비단원,8.0,900105,false,,4,,1
1735,donut5@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,신유진,01000000005,공과대학 건축학과,2014-00005,여,0200000005,01010000005,donut5,정단원,6.0,900106,false,,5,,1
1739,donut6@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,선훈희,01000000006,생활과학대학 의류학과,2014-00006,여,0200000006,01010000006,donut6,정단원,8.0,900107,false,,6,,1
1740,donut7@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,김소혁,01000000007,미술대학 동양화과,2014-00007,여,0200000007,01010000007,donut7,정단원,8.0,900108,false,,7,,1
1730,donut8@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,최주운,01000000008,공과대학 전기정보공학부,2014-00008,남,0200000008,01010000008,donut8,예비단원,8.0,900109,true,kakao,8,,1
1903,donut9@donutworks.com,2014-09-24 06:56:47 +0900,2014-11-15 16:52:40 +0900,김보진,01000000009,공과대학 건축학과,2014-00009,여,0200000009,01010000009,donut9,예비단원,8.5,900110,true,kakao,9,,1
1733,donut10@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,신훈건,01000000010,공과대학 기계항공공학부,2014-00010,남,0200000010,01010000010,donut10,정단원,8.0,900111,false,,10,,1
1746,donut11@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,강혜혁,01000000011,농업생명과학대학 산림과학부,2014-00011,여,0200000011,01010000011,donut11,예비단원,8.0,900112,false,,11,,1
1753,donut12@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,권주현,01000000012,간호대학 간호학과,2014-00012,여,0200000012,01010000012,donut12,정단원,8.0,900113,true,kakao,12,,1
1749,donut13@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,박준진,01000000013,공과대학 기계항공공학부,2014-00013,남,0200000013,01010000013,donut13,예비단원,8.0,900114,false,,13,,1
1750,donut14@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,윤훈원,01000000014,공과대학 화학생물공학부,2014-00014,여,0200000014,01010000014,donut14,예비단원,7.5,900115,false,,14,,1
1853,donut15@donutworks.com,2014-09-24 06:56:45 +0900,2014-11-15 16:52:40 +0900,차지혁,01000000015,음악대학 국악학과,2014-00015,여,0200000015,01010000015,donut15,예비단원,8.5,900116,true,kakao,15,,1
1752,donut16@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,김주영,01000000016,음악대학 기악과,2014-00016,여,0200000016,01010000016,donut16,정단원,7.0,900117,false,,16,,1
1852,donut17@donutworks.com,2014-09-24 06:56:45 +0900,2014-11-15 16:52:40 +0900,이수진,01000000017,자연과학대학 화학부,2014-00017,여,0200000017,01010000017,donut17,예비단원,8.5,900118,true,kakao,17,,1
1756,donut18@donutworks.com,2014-09-24 06:55:29 +0900,2014-11-15 16:52:40 +0900,김훈석,01000000018,자유전공학부 자유전공학과,2014-00018,남,0200000018,01010000018,donut18,예비단원,8.0,900119,false,,18,,1
1844,donut19@donutworks.com,2014-09-24 06:56:45 +0900,2014-11-15 16:52:40 +0900,이경혁,01000000019,공과대학 화학생물공학부,2014-00019,남,0200000019,01010000019,donut19,예비단원,8.5,900120,true,kakao,19,,1
